N,P,K,Temp,Humidity,pH,Rainfall,Soil_temp,Soil_moisture,Crop
34.7,33,13.8,26.3,78.7,5.4,3000,23.6,56.7,Rice
67.6,36.4,14.3,30.5,57.9,6.99,2698.1,27,81.6,Rice
68.1,42.1,34.9,27.4,82.9,7.04,2368.8,23.3,81.4,Rice
58.2,63.9,52.6,33.9,87,6.44,1633.8,30.7,86.1,Rice
69.9,40.7,20.6,34.5,71.2,6.28,1854.7,28.9,74.1,Rice
22.5,27.2,10,37,80.4,6.42,1651.7,25.4,93.3,Rice
31.1,36.5,42.1,26.6,84.9,5.73,1552.6,28.1,79.1,Rice
10,57.4,55.5,33.7,87.4,6.59,1974.2,24,88.3,Rice
45,60.5,34,29.9,98.1,6.67,2061.4,33.6,76.4,Rice
60.8,46.6,38.2,27.6,78.4,7.42,1645.6,32.3,79.3,Rice
10.7,38.2,38.9,31.4,82.8,6.25,2035.4,28.2,87.7,Rice
34.9,52.8,22.4,27.6,91.3,6,1632.4,27.5,96.7,Rice
33.4,27.5,12.5,36.9,63.1,6.68,1740.5,28.4,83,Rice
46.5,55.8,10,34.1,80.8,6.7,2447,31.2,85.3,Rice
50.5,13.5,28,25.5,70.5,6.88,2024.9,24.1,82.5,Rice
33,58.4,18.4,28.4,84.1,7.41,2040.5,25.8,85.4,Rice
59.1,56.1,36.6,31.7,88.8,6.15,1962.8,34.8,77.6,Rice
20.6,46.9,40.1,24,100,7.03,2497.4,26.2,100,Rice
57.6,40.5,30,28.2,76.8,6.43,2119.5,28.4,75.7,Rice
24.4,26.8,58.5,31.1,83.6,5.72,1830.2,28,73.8,Rice
61.8,26.1,40.2,34,95.7,7.29,2373.6,33,99.7,Rice
96.3,56.3,33.5,29,77.5,5.99,1822.4,27.9,58.8,Rice
66.6,46.4,38.5,34.1,86,6.51,2507.9,29,73.2,Rice
81.1,67.9,40.8,29.9,76.5,7.04,1970,31.2,93.5,Rice
64.9,54.3,28,32.8,69,6.7,2101.8,27.6,78,Rice
59.4,55.9,30.9,27.5,78.4,6.84,2060.3,26.7,76.2,Rice
70.9,23.2,47.6,28.9,90.1,6.31,1597.8,28.3,87.5,Rice
63.1,30.7,50.4,30.2,87.9,7.03,2329.8,22.6,84.8,Rice
14.8,35.8,31.2,29.1,68.1,6.34,1706.4,25.1,65.4,Rice
52.4,51,26,30.3,75.8,7.31,2107.1,32.3,75.9,Rice
10,56.4,31.2,28.4,74,5.92,1566.7,25.5,79.7,Rice
34.8,39.1,10,29.8,82.9,6.98,2132.4,30.4,84.9,Rice
40.1,40.7,17.2,35.4,87.8,6.51,1583.3,34.1,76.2,Rice
78,54,40.8,33.1,97,6.79,2031.9,27.1,100,Rice
65.7,40.9,15.9,29.1,74.1,7.49,1574.4,24.3,86.6,Rice
23.8,50.4,51.3,34.3,88.6,5.9,2134.8,24.1,91.9,Rice
41,57.8,31.3,32,71.9,6.49,1824.9,26.6,69.1,Rice
11,35,32.1,29.5,77.9,6.8,2192.5,30.5,99.1,Rice
60.9,43.6,20.8,29.3,77.8,5.68,2363.2,26.7,80.7,Rice
90.8,43.3,20.9,35.7,63.2,6.28,1841.9,29.1,80.1,Rice
68.2,27.2,10,34.4,94.5,6.61,1771.3,27.8,78.6,Rice
61.2,30.4,34.1,28.7,91.4,6.58,2166.8,25.7,80.8,Rice
43.5,64.4,50.8,28.9,72.7,6.47,1170.6,23.7,91.3,Rice
47.9,53.4,12.9,30.9,83.4,6.3,2393.8,25.1,86.5,Rice
53.5,41.9,52.2,30.5,66.1,6.48,1956.9,31,77.7,Rice
76.5,66.1,36.8,22.6,75.9,5.85,2044.5,25.4,93.2,Rice
41.6,34,22,34.7,75,5.29,1503.8,20,61.8,Rice
84.4,60.6,24.3,26.6,98.5,6.13,1760.8,31.9,85.3,Rice
64.4,50,20,29.1,88.4,7.5,1899.6,29.5,79.3,Rice
55.6,49.2,14.9,27.6,86.7,6.76,2125.8,28.3,97.4,Rice
36.7,44.8,23,30.7,66.5,5.64,1651.6,25.8,90.1,Rice
69,53.4,43.2,34.4,70.7,6.18,2223.6,26,87,Rice
71.2,43.7,10,28.1,71.2,7.25,2192.7,28.3,84,Rice
53.4,39,39.3,27.4,80.3,6.4,1524.6,32.3,83.7,Rice
61.2,70,45.8,31.3,82.3,5,2119.1,32,78.7,Rice
27.2,52.9,21.6,28.1,88.1,7.33,1848.2,20,72.9,Rice
48.4,35.2,23.6,33.5,86.8,5.23,2291.4,33.4,64.2,Rice
31.4,59.8,10,31.2,83.5,6.82,2118.6,29.7,61.4,Rice
55,68.9,26.9,26.7,91.3,7.5,1728.4,28.7,84.2,Rice
48.4,60,50.1,33.2,76.1,6.12,2005.1,25.6,75.8,Rice
72.2,54.5,15.3,34.4,82.8,6.98,1915.7,20.4,83.3,Rice
47.4,71.2,43.6,32.3,82.3,5.79,1792.5,27.6,73.1,Rice
39,54.1,23.1,23.5,75.2,6.08,2159.9,25,77.1,Rice
37.6,67.8,25.5,26.6,83.5,5.79,2202.8,24.2,74.5,Rice
43.2,62.8,12.9,31.2,73.1,6.26,1805,23.2,79.4,Rice
39.2,38,39.8,33,92.1,7.5,2282.4,25.8,87.6,Rice
68.4,54.6,38.4,33.7,50,5.91,2292.6,30.8,93.5,Rice
85.9,20.9,13.7,26.5,85.3,6.15,2071.2,24.9,72.2,Rice
10.5,60.2,33.9,28.7,99.4,6.99,2698.9,29.5,65.2,Rice
39.6,69.2,10,30.8,75.3,5.86,1776.2,25.5,70.5,Rice
36.1,60,37.2,30.4,76.6,7.39,2026.8,29.5,77.2,Rice
12.9,60.2,26.6,30.4,80,6.92,2140.4,26.2,96.3,Rice
35.6,67.5,30.7,34.8,100,6.01,2064.3,28.1,63.8,Rice
92,38.6,13.4,28.4,61.7,6.55,1750.8,26.4,71.9,Rice
38.2,44.2,36.6,28.6,91,6.37,1429.2,28.3,89.7,Rice
54.2,59.7,15.1,29.4,84.4,7.19,2369.5,24.1,91.8,Rice
23.4,45.5,10.2,31,72.1,7.5,2176.1,23.5,73.8,Rice
50.1,42.9,11.6,28,77,5.6,1192,21.5,66,Rice
43.6,69.5,10,31.3,79.3,6.54,1859.7,26.2,85,Rice
36.4,45.5,59,28.6,82.4,6.01,2008.7,27.6,71,Rice
29.5,72.9,41,36.9,82.3,5.02,2184.9,26.5,68.1,Rice
16.9,60.5,17.9,25.5,81.5,5.94,2183.4,30.2,98.5,Rice
96.9,41.6,52,28.1,69.9,6.04,2007.6,30.9,85.2,Rice
65.9,59.7,21.4,24.7,82.7,6.28,2029.1,31.3,74.1,Rice
78,40.6,24,33.7,62.8,6.29,1017.5,26.5,88.3,Rice
57.9,47.2,44.4,34.3,94.2,7.5,2069.6,26.4,68.9,Rice
73.1,53.1,13.2,29.5,79.4,6.61,3000,30,65.6,Rice
63.6,54.3,25.5,21,87.8,6.66,2367.7,28.7,100,Rice
37.3,41.7,39.8,26.4,93.3,7.12,2138.1,30.8,87.4,Rice
43.1,35.4,36.5,28.8,77.5,6.47,1785.5,27.5,81.7,Rice
34.3,57.7,10,28.6,95.3,6.78,1379.7,28.2,57.3,Rice
44.5,61.3,25.2,27.4,86.3,6.48,2044.8,32.7,100,Rice
58.2,49.2,27.9,29.5,67.1,7.07,1777.1,27.7,69.2,Rice
54.5,15.3,51.3,33.9,96.5,6.13,2425.2,28.2,68.1,Rice
69.6,69.7,34.1,27.8,78.6,6.85,2248,28.4,92.1,Rice
66.8,54.7,49.8,29.7,82.9,7.09,2093.2,23.6,78.4,Rice
47.4,47.4,26.9,33.5,78.8,6.38,1876.1,26.1,88.3,Rice
53.9,59.9,25.3,37,67.1,6.79,2291.3,34.5,74.8,Rice
49.7,65.4,25.8,35.5,75,5.73,1751.9,27.5,73.8,Rice
84.2,43.2,47.6,34.2,91.2,6.7,2148.7,27.3,82.3,Rice
58.7,32.9,34.3,33.5,73,6.68,2297.7,28,54.7,Rice
35.2,38.3,41.4,22.4,70.9,7,1835.7,26.3,74.9,Rice
68.2,73.8,26.2,23.9,69.1,6.51,1887.9,28.1,79.8,Rice
84.3,54.8,19.5,33.8,92.1,6.32,1778.4,30.6,99.1,Rice
29.7,21,18.4,30.1,79.6,6.32,1367.7,26.4,65,Rice
64.5,67,19.3,25.2,81.6,7.03,2214.3,30.3,75.2,Rice
19.8,40.9,22.2,26.8,77.7,6.31,2152.4,28.8,61.9,Rice
64.4,38.3,45.9,29.3,64.2,7.08,1480.8,26.2,85.2,Rice
53.3,67.6,21,33,87.1,6.74,1862.7,29,70.2,Rice
71.1,27.9,41.3,33.6,79.1,6.34,1738.4,27.4,82.4,Rice
55.6,28.6,45.1,27.5,78.9,6.6,2458.4,26.4,81.7,Rice
55.7,45.9,17.3,24.2,76.8,6.84,2063.4,20.4,76.2,Rice
62.4,70.7,21.2,30.8,81.4,6.94,1785.9,27.3,79.7,Rice
82,52.5,19.2,32.2,70.1,6.29,2070.6,28.2,80.9,Rice
57.7,65.6,60,29.6,76.5,6.6,1801.3,31,65.5,Rice
91.4,52.7,27.2,28,87.1,5.85,2010.3,30.3,75.7,Rice
76.9,47.2,35.3,30.7,71.1,6.74,1512.8,26.5,86.1,Rice
25.3,72.4,24.2,31.1,77.2,6.77,2253.9,26,72.4,Rice
32.2,42.9,35.1,30.3,71,7.09,1748.4,29.8,76.4,Rice
61.6,38,31.5,25,87,6.78,1642.4,27.4,69,Rice
59.5,53.7,21.9,32.8,78.4,5.8,2182,29,63.4,Rice
84.7,43,29,31,70.4,6.3,1699.7,26.6,83.3,Rice
66.3,40.2,46.3,31.4,82.7,7.5,1583.7,32.2,83.5,Rice
39.7,34.9,34.4,28.8,59.2,6.28,1765.4,23.5,89.9,Rice
74.8,71.7,15,31.6,87.8,6.21,2518.8,30.2,70.4,Rice
29.3,38.8,15.8,31.5,70.1,7.19,1989,26.8,74.2,Rice
69,41,37.3,32.2,78,6.14,1987.7,24.4,83.7,Rice
48.3,38.6,10,30,76.5,7.5,2711.5,30.2,82.8,Rice
23.2,58.2,10.5,37,71.5,5.76,2288.2,27.9,100,Rice
51.5,48.9,30.9,34.6,70,6.68,2008.9,30.8,90.2,Rice
41.6,52.3,30.4,30.3,75.4,6.52,1787.8,26.7,69.5,Rice
24.2,73.3,35.2,26.5,67.9,6.87,1587.2,29.6,93.7,Rice
56.9,31.5,27.6,27,73.2,6.44,2082.1,26.4,91.4,Rice
64.2,58.9,14.7,27.8,63.9,7.44,2105.8,24.5,67.1,Rice
65.6,47.2,47.9,31.8,100,6.39,2245.6,27,74.6,Rice
41,51.2,20,27.3,64,6.76,1600.2,29.4,94.2,Rice
31.5,34.8,20.4,25.4,82.2,6.57,2598.9,22.8,71.7,Rice
42.2,38.7,30.1,27.3,84.3,6.69,1693.2,30.4,88.3,Rice
49.3,51.3,11.2,34.4,78.8,5.66,2174.5,24.7,92.6,Rice
54.9,54.2,40.5,32.6,74.2,6.37,2000.3,29.6,78,Rice
50.5,61,27.2,27,73.8,6.67,2421.5,27,79.1,Rice
44.1,19.4,21.3,27.2,59.9,6.59,2119,27.3,71.6,Rice
54.2,30.1,15,29.5,96,6.74,1947.7,24.8,70.9,Rice
34.3,53.2,39.9,34,90.2,6.71,2235,28.1,87.2,Rice
61,51.1,29.2,31.9,76.9,6,2072.2,31.9,87.3,Rice
93.6,41.1,48.3,33.1,84.4,6.74,1718.2,25.5,92.2,Rice
30,46.3,45.2,27.3,84.8,6.67,1857.5,26.6,68.4,Rice
47.1,66.9,24.7,29.3,97.7,6.13,1680.1,30.3,91.6,Rice
64.2,34.9,70,30.4,79.2,6.17,2389.9,30.3,94.3,Rice
43.8,69.4,23.6,31.7,80.5,6.48,1782.9,28.8,96.5,Rice
62.4,24.8,19.5,30.4,89.7,6.78,1978.8,29.6,97.9,Rice
36.5,34.3,51.3,29.9,94.1,6.91,1381.8,25,71.3,Rice
48.5,66.9,40.7,32,76.1,6.26,2252.5,33.2,71.6,Rice
19.5,48.3,37.3,34.6,100,6.61,1638.6,34.9,90.7,Rice
55.8,38.9,35.7,31.7,73.6,7.41,2035,32.5,91.3,Rice
63.4,50.1,27.6,35.7,79,6.75,2252.1,28.8,82.4,Rice
44.8,54.6,36.9,34.7,73.2,6.4,1951.1,25.6,72.3,Rice
54.5,55.4,29.5,31.2,80,7.23,2162.1,26.6,90.1,Rice
59.4,52,35.8,24.7,65.7,6.06,2666.2,28.4,84.6,Rice
73.4,60.3,19.5,31.1,81,6.36,2042.6,27.5,75.4,Rice
63.5,59.2,18.7,31.2,58.4,6.57,1979.8,31.7,85,Rice
26.2,47.9,62.5,28.6,71.9,6.36,1794.7,26.5,67.4,Rice
53.5,58.6,21.1,29.4,68.6,5.87,1992.1,25.3,68.3,Rice
37.4,43.7,28.3,29.5,68.7,6,1981.7,29.4,88.3,Rice
56.8,55,44.9,33.9,89.7,6.78,1614.8,30.6,80.7,Rice
51.9,54.3,11.7,27.2,67.3,6.2,1539.3,28.9,83.6,Rice
31.2,69.8,34.4,26.3,71.8,6.52,2304.4,30.2,84.4,Rice
46.3,47.4,50.1,30.6,84.7,6.49,2189.5,23.9,66.7,Rice
29.2,44.5,27,28.7,71.8,6.78,2197.1,29.7,94,Rice
37.2,38.3,54.1,32,82.9,6.44,2175,29.5,74.1,Rice
31,51.6,17.7,27.7,88,6.12,2149.4,28,81.6,Rice
76.7,65,46.1,28.4,75.4,5.52,1020.7,30.9,84.1,Rice
42.9,37.6,45.9,31.4,77.3,7.5,2038.8,28.1,84.4,Rice
44.6,23.1,18.9,30,73,6.75,1532.6,31.8,87.2,Rice
25.8,28.1,16.7,29.2,92.3,6.26,3000,28.6,83.7,Rice
100,27.9,14.5,29.3,69.3,6.79,2050.4,28.6,84.5,Rice
44.7,41.1,20.2,28.1,92.3,7.13,2636,28.2,85,Rice
54.7,49.6,47.7,37,87.1,6.38,1804,31.6,72.7,Rice
45.3,53.2,31.8,34,70.2,6.85,1869.3,30.7,69.3,Rice
71.3,57.3,52.4,32,91.9,6.64,2869.7,28,69.5,Rice
49,37.5,16.5,28.5,87.8,6.91,2017.5,25.4,70.7,Rice
27.4,42.6,22.1,28.4,100,6.86,1714.8,24.1,89.1,Rice
74.2,53,38.1,28.8,93,6.69,2253.9,33,78.4,Rice
61.1,73,15.3,27.6,67,6.4,2413.5,29.2,72.9,Rice
37.3,79.9,31.2,31.9,79.8,6.56,2155.6,29,77.2,Rice
36.4,39.6,10,33.2,50.7,5.89,2319.1,25.7,68.8,Rice
71.4,16.4,27.8,31.2,96.5,6.75,2233.4,28.4,56.5,Rice
37.5,63.6,10,28.8,70.8,6.6,2350.8,29,96.4,Rice
63.4,54.6,21.2,24.6,85.1,6.6,1950.9,27.2,72.4,Rice
35.3,49.7,54.4,25.8,100,6.12,2091.7,26.6,81.8,Rice
28.5,39.8,53.1,31.4,75.4,6.39,2406.3,28.9,50.3,Rice
63.5,82.9,37.3,27,73.6,6.3,1688.8,36,85.2,Rice
35.7,50.8,16.1,32,85.2,6.47,2112.4,25,81.3,Rice
60.6,58.1,25.4,32.4,79.9,6,2230.8,30.7,92.8,Rice
61.7,78.1,14.9,32.6,73.4,5.64,1983,26.4,92.4,Rice
20.8,59.4,24.7,26.6,80.3,6.34,1868.1,25.7,72.2,Rice
82.6,70.7,24.2,27.2,69.1,6.21,1832.2,28.8,89.1,Rice
45,46.9,42.9,31.9,82.9,7.1,2015.8,32.5,85.7,Rice
28.5,42.3,57.5,35.2,82.5,6.74,1650.4,30.6,82.6,Rice
59.9,10,29.6,28.2,72.5,6.17,2642.7,27.9,84,Rice
39.4,56,33.8,31,75.8,6.83,2181.5,31.4,68.2,Rice
73.3,68.6,29.2,30.4,75.8,6.68,2206.6,24.9,82.7,Rice
36.2,69.6,36.4,24.6,60.8,6.14,1681.7,26.2,78.6,Rice
38.7,24.8,24.8,31.2,66.2,7.03,2218.4,26.5,81.4,Rice
57.2,41.1,55.5,22.7,88.6,6.72,2386.8,28.8,100,Rice
71.3,77.4,12.2,33.9,83.6,7.5,1990.2,30.4,94.8,Rice
89,51.5,43.6,31.4,60.6,6.66,1624.3,28.5,74.5,Rice
57.7,47.3,21.1,27.2,62.5,7.04,2035.5,26.1,63.6,Rice
55.3,23.8,56.3,33.5,50,6.3,2084.1,27.9,61.4,Rice
25.2,48.1,23.3,32.6,71,7.32,2009.9,28.9,93.5,Rice
27.1,36.4,24.6,30.2,84.3,6.06,1701.2,30.4,75.6,Rice
21.5,34.9,15.9,23.9,81.7,6.28,2123,20.5,58.6,Rice
56.5,40.5,25.4,33.1,91.4,5.77,1756.9,24.2,86.5,Rice
45.3,51.5,22.9,28.6,70.8,6.15,1990.4,28.8,73.4,Rice
24.1,33.5,28.7,33.4,70.4,7.5,2029.6,30.2,88.1,Rice
73,60.1,37.9,34.3,63.8,6.38,1876,27.6,80.4,Rice
20.3,46.2,10,32.7,76.9,7.5,2071.7,25.3,61.1,Rice
66.5,65.9,48.3,37,83.5,6.37,1813,22.9,78.3,Rice
38,49,33.8,32.1,82.6,5.91,2662.5,26.8,73.9,Rice
90.6,23.3,33.2,23.8,79.1,6.85,1825.2,30.7,81.3,Rice
36.4,54.5,56.3,30.9,71.4,7.02,2096.3,25.6,84.4,Rice
34.5,60.3,40.1,29.8,79.9,6.5,1724.8,27.3,83.9,Rice
26.4,69.5,37.6,33.5,94.2,6.54,1513.9,28.2,84.2,Rice
37.7,43.7,27.8,32.2,63.7,7.2,2275.5,29.2,96.1,Rice
69.5,35.3,21.2,30.9,76.2,6.93,1987.3,27.4,90.1,Rice
57.2,55.2,50.1,26.9,81,6.53,1802.8,27.5,73.4,Rice
10,35.7,54.6,32.6,83.8,6.7,2096.9,29.3,77.9,Rice
74.7,49,35.4,31.1,66.9,6.38,2320.5,30.3,88.9,Rice
63.7,72.6,39.3,30.4,69.8,6.71,2362.1,25.3,82.5,Rice
54,71.2,43.8,28.7,70.2,7.5,1941.2,27.3,64,Rice
58.2,35.3,17.5,26.8,71.6,7.5,1504.6,30,79.2,Rice
33.3,63.3,45.8,28.9,77.3,7.17,2535.6,27.2,83,Rice
52.6,39.6,40.5,34,68.3,6.71,2447,29.8,68.5,Rice
51.6,20.7,36.8,29.7,88.8,7.39,2657.1,34.1,94.9,Rice
90.1,44.1,10,29.3,76.8,7.08,1807.1,23.8,100,Rice
43.2,46.8,10.6,32.1,99,7.31,2432.1,26.9,90.1,Rice
69.1,77.6,14.8,32,71.1,7.16,2405.7,26.3,77.9,Rice
